redshift,halo_mass_lower_msun,halo_mass_upper_msun,sfrd_popii_msun_yr_mpc3,sfrd_popiii_msun_yr_mpc3,popii_fraction_of_bin_sfr,popiii_fraction_of_bin_sfr,bin_fraction_of_total_sfrd
1.437121151156e+01,1.000000000000e+08,1.000000000000e+09,1.499055687790e-03,1.315695063469e-05,9.912995366522e-01,8.700463347796e-03,4.655770366979e-01
1.437121151156e+01,1.000000000000e+09,1.000000000000e+10,6.877886151798e-04,3.652896179740e-13,9.999999994689e-01,5.311073921811e-10,2.117549988431e-01
1.437121151156e+01,1.000000000000e+10,1.000000000000e+14,5.681307278010e-05,1.435283565263e-63,1.000000000000e+00,2.526326239770e-59,1.749149649894e-02
1.461006578071e+01,1.000000000000e+05,1.000000000000e+06,4.463636077376e-23,4.008932612505e-08,1.113422576237e-15,1.000000000000e+00,1.355288404868e-05
1.461006578071e+01,1.000000000000e+06,1.000000000000e+07,1.069910697619e-06,1.515452690900e-04,7.010512971960e-03,9.929894870280e-01,5.159417819291e-02
1.461006578071e+01,1.000000000000e+07,1.000000000000e+08,4.739562022783e-04,3.377641217681e-04,5.838910129978e-01,4.161089870022e-01,2.744159729061e-01
1.461006578071e+01,1.000000000000e+08,1.000000000000e+09,1.357317212598e-03,1.152920829377e-05,9.915774274471e-01,8.422572552926e-03,4.627620021580e-01
1.461006578071e+01,1.000000000000e+09,1.000000000000e+10,5.814733835419e-04,2.151379283545e-13,9.999999996300e-01,3.699875770141e-10,1.965770470392e-01
1.461006578071e+01,1.000000000000e+10,1.000000000000e+14,4.329686280964e-05,5.763973563724e-65,1.000000000000e+00,1.331268177343e-60,1.463724681977e-02
1.485288988649e+01,1.000000000000e+05,1.000000000000e+06,1.120757617485e-22,5.861488434651e-08,1.912069997204e-15,1.000000000000e+00,2.177079387950e-05
1.485288988649e+01,1.000000000000e+06,1.000000000000e+07,1.160359312644e-06,1.588202771725e-04,7.253123491302e-03,9.927468765087e-01,5.942015412057e-02
1.485288988649e+01,1.000000000000e+07,1.000000000000e+08,4.529815057492e-04,3.231023551605e-04,5.836759769984e-01,4.163240230016e-01,2.882537764502e-01
1.485288988649e+01,1.000000000000e+08,1.000000000000e+09,1.224344306245e-03,1.005843521688e-05,9.918515773831e-01,8.148422616891e-03,4.584829936674e-01
1.485288988649e+01,1.000000000000e+09,1.000000000000e+10,4.890841423501e-04,1.248653143432e-13,9.999999997447e-01,2.553043607410e-10,1.816560788999e-01
1.485288988649e+01,1.000000000000e+10,1.000000000000e+14,3.275320702467e-05,2.135491803202e-66,1.000000000000e+00,6.519947196602e-62,1.216522606803e-02
1.509974980889e+01,1.000000000000e+05,1.000000000000e+06,2.749091395780e-22,8.405962444113e-08,3.270406469286e-15,1.000000000000e+00,3.438420066753e-05
1.509974980889e+01,1.000000000000e+06,1.000000000000e+07,1.251218174005e-06,1.655437041268e-04,7.501536358213e-03,9.924984636418e-01,6.822669167090e-02
1.509974980889e+01,1.000000000000e+07,1.000000000000e+08,4.309161915787e-04,3.076121615341e-04,5.834795505988e-01,4.165204494012e-01,3.020916077239e-01
1.509974980889e+01,1.000000000000e+08,1.000000000000e+09,1.097980428515e-03,8.721172505046e-06,9.921196711950e-01,7.880328804990e-03,4.526911722666e-01
1.509974980889e+01,1.000000000000e+09,1.000000000000e+10,4.081149064604e-04,7.122642740882e-14,9.999999998255e-01,1.745254247490e-10,1.669375153040e-01
1.509974980889e+01,1.000000000000e+10,1.000000000000e+14,2.449270772153e-05,7.260025453283e-68,1.000000000000e+00,2.964157959106e-63,1.001862883385e-02
1.535071262452e+01,1.000000000000e+05,1.000000000000e+06,6.594478855011e-22,1.185411133644e-07,5.563030975371e-15,1.000000000000e+00,5.344739479140e-05
1.535071262452e+01,1.000000000000e+06,1.000000000000e+07,1.342582581440e-06,1.717980239469e-04,7.754290621708e-03,9.922457093783e-01,7.806501971258e-02
1.535071262452e+01,1.000000000000e+07,1.000000000000e+08,4.084428743787e-04,2.917652504277e-04,5.833163882404e-01,4.166836117596e-01,3.157073442328e-01
1.535071262452e+01,1.000000000000e+08,1.000000000000e+09,9.802656336323e-04,7.523695656345e-06,9.923832993197e-01,7.616700680259e-03,4.453709329600e-01
1.535071262452e+01,1.000000000000e+09,1.000000000000e+10,3.384917144683e-04,3.998392457064e-14,9.999999998819e-01,1.181237910911e-10,1.526179380763e-01
1.535071262452e+01,1.000000000000e+10,1.000000000000e+14,1.815423685535e-05,2.265700214251e-69,1.000000000000e+00,1.248028343083e-64,8.185317623612e-03
1.560584652481e+01,1.000000000000e+05,1.000000000000e+06,1.547693433169e-21,1.644048950325e-07,9.413913331857e-15,1.000000000000e+00,8.175825021237e-05
1.560584652481e+01,1.000000000000e+06,1.000000000000e+07,1.433714346725e-06,1.774998734725e-04,8.012550154491e-03,9.919874498455e-01,8.898334226263e-02
1.560584652481e+01,1.000000000000e+07,1.000000000000e+08,3.857807068962e-04,2.757062217062e-04,5.832023131753e-01,4.167976868247e-01,3.289562260917e-01
1.560584652481e+01,1.000000000000e+08,1.000000000000e+09,8.713809786579e-04,6.458501503053e-06,9.926427306484e-01,7.357269351646e-03,4.365479498109e-01
